标题,观看量,弹幕量,上传时间,up主
Python基础入门到高级项目实战全套视频教程（持续更新中。。。。。。）,3.7万,215,2020-02-07,码出未来
【人工智能/Python/编程】AI人工智能+Python全栈+大数据分析精品就业班 第01阶段-基础必备篇 Python基础快速入门,10.4万,489,2019-02-08,我是学习小先锋
2020最新全套Python数据分析师训练营震撼完结版,8505,12,2020-03-19,云开财经
Python金融实务从入门到精通,2.4万,212,2019-08-23,brown123
"Python63行代码实现俄罗斯方块!史上最简!无lambda函数,无import文件关联,刷新个人记录!(玩得依旧很蔡)",34.5万,293,2019-06-13,Trix_
【最新】北京理工大学嵩天教授的Python语言程序设计课程,9.0万,3545,2019-08-02,大大鹏I6
Python3网络爬虫(知了课堂),9.8万,3715,2019-02-24,神奇的老黄
5分钟用Python爬取天气数据,4191,4,2019-09-15,蚂蚁学Python
3年Python程序员谈Python | 推不推荐学Python | 就业分析 | 除了Python还应该会什么 | Python程序员如何提高竞争力,16.8万,519,2019-09-22,是落拓呀
【Python】从入门到入狱,266,1,2020-04-05,工业魔方
国家精品公开课——Python数据分析与可视化,2.7万,399,2019-12-31,机器学习与Python实战
2020年Python数据分析师特训营全套84节视频完结版（就业向/零基础友好）,8.3万,1877,2020-01-03,云开见明教育科技
左手Excel，右手Python，轻松入门数据分析!,6127,1,2020-03-11,蜗牛学院
为什么我不推荐学Python去找工作?为什么只会Python很难找到工作?在职程序员聊聊Python岗位的一些情况|视频教程,40.3万,1220,2019-07-25,CodeSheep
老男孩Python全栈开发29期全套(2020年3月开班)-同步更新,1.3万,235,2020-03-05,程序员_Egon_爱根老师
零基础自学编程，不要学Python！| 推荐 2019 年适合学习的编程语言,19.5万,446,2019-05-28,阿磊谈自学
python数据结构与算法系列课程,14.8万,3017,2018-04-02,woshigzp
【Python/图形自动化+钉钉】自动登录钉钉打开老师直播,346,2,2020-03-19,GALACTIC坐井觀天
【Python爬虫】新手强烈推荐：Python爬虫教程，学爬虫这一套就够了,4.6万,1271,2019-12-13,考研拼课屋
Python自动化操作Excel表格,6159,0,2020-03-09,老王家的王小白
5分钟学会Python爬取整个网站,8.3万,151,2019-09-06,蚂蚁学Python
【python】开源油管vtuber直播即时翻译脚本,1.8万,25,2020-03-05,东瀬 まつり
老男孩教育python全栈15期(145天全),12.7万,1605,2019-05-03,保护我方狄仁杰
