标题,观看量,弹幕量,上传时间,up主
Python Tornado 项目实战,1412,3,2020-03-28,POUR_OVER
初学python者最容易产生的误解 | 无废话5分钟快速解释,6154,10,2020-03-09,DavyCloud
【千锋教育】Python全栈+人工智能 就业班 （共六个月课程）,6403,13,2020-03-02,逆风微笑的代码狗
"计算机网络该怎么学 |面试题分享 |程序员面试必问 |互联网,通信公司常问 |java,python,c++等校园招聘开发岗位都会问",5.3万,379,2019-06-11,CodeSheep
全国计算机二级Python科目基础知识教程,10.7万,7333,2019-01-20,悦焱
Python入门必备经典基础教程,123,0,2020-04-04,大圣0611
【哈尔滨工业大学】 高级语言程序设计（Python）-车万翔老师,1687,0,2020-03-28,逆风微笑的代码狗
python人工智能,5485,6,2020-03-02,Tom_Jary
Python爬虫实战 -  抓取B站热门排行榜,7812,145,2020-01-30,麦叔编程
Python Django 在线课堂项目实战,2913,0,2020-03-22,POUR_OVER
【详细教程】8266万能显示器详细部署教程 支持任何视频 Python上位机+ESP8266/ESP32+0.96OLED即可制作,8789,7,2020-03-01,梦程MI
当你放弃C语言而去学Python是什么感觉？,13.5万,250,2019-03-07,偶尔有点小迷糊
【IT】Python从入门到放弃（2016）【全】,21.5万,3749,2017-01-15,庄七
使用Python完成自动发送邮件,216,0,2020-04-03,路飞学城小媛老师
2020年面试刷题leetcode必备数据结构与算法基础【基于python3】（线上1.8万培训课程，授课老师清华博士）,3858,3,2020-03-15,老虎队队长
python之pandas玩转excel,8144,28,2020-02-24,玄枵思意
零基础python入门(2019),8.8万,721,2019-02-28,二进制学院
从0开始语音识别（附带讲解内容）Python,2.3万,196,2019-11-05,kingback2019
Python爬虫 廖雪峰,5.0万,181,2019-09-17,_山园小梅
Python 语音识别,2310,0,2020-03-23,POUR_OVER
【如何一张图学会Python】有故事的32行代码，深入浅出7分钟精讲,3.8万,42,2019-08-27,凯威老师在讲课
python爬虫-网易云音乐评论-周深-达拉崩吧,1572,0,2020-04-01,龙王山小青椒
python编程基础入门【廖雪峰】,4602,15,2020-03-16,放羊Wa
python分布式爬虫打造搜索引擎,7494,22,2020-02-09,哔哩虾仁儿
Python爬虫实战开发视频教程,8099,22,2020-02-08,码出未来
用Python开发迷宫游戏，玩转Python面向对象「难度 L3」,1.4万,46,2020-01-18,麦叔编程
适合饭圈女孩学习的Python教程——Allen Python01,5915,20,2020-02-27,许宣小可爱
写Python装饰器的套路 | Python 进阶,1140,3,2020-03-29,DavyCloud
2020年程序员做哪个方向比较好？Java、Python、前端还是算法？给准备入坑程序员的小伙伴们一些方向！,8588,23,2020-03-04,程序员黄小斜
茫然、迷惑！你离掌握python还差一个学习路线，含学习教程,7313,20,2020-02-28,IT-哆哆
到底该学哪种编程语言？哪些编程语言比较火？各种编程语言到底能干啥？|Java，C语言，C++，Python，JavaScript，Go语言等等到底能干啥,9.9万,1308,2019-01-22,CodeSheep
Java还是Python【你会选？？】,2.4万,93,2020-01-26,鱼C-小甲鱼
黑马Python从零开始学编程,1031,1,2020-03-30,张奇MAX
Python网络爬虫实战（新手最快1天上手）- (P1. 课时01：Python3-Pip环境配置),3285,2,2020-03-14,小虫_jiabao
数据结构与算法 完整解析 #Python版,3201,3,2020-03-14,逆风微笑的代码狗
【Python】初学者必学!四小时快速入门Python,4352,11,2020-03-11,大佬的迷弟的粉丝
零基础入门学习Python,5805,40,2020-02-27,其实仅仅
Python爬虫简明教程 最精炼的Python爬虫课 简明易懂,2.5万,26,2019-09-08,人工智能课程
【自制】想知道如何实现自动解数独吗？C语言+Python+manim多角度可视化流程（有字幕）,1.4万,46,2020-01-16,RY-Givenchy
Pelican Python framework静态网站生成工具,203,0,2020-04-04,afaty_ma
Python编程语言 2020年最新入门教程,1.4万,43,2020-01-27,程序员小灰
8天深入理解python,3947,4,2020-03-09,会飞的雨z
【Chenghsi Hsieh】《利用Python进行数据分析》适合初学者,1.9万,157,2019-12-26,扎列夫有
利用python提取骨骼动画教程,8.4万,117,2019-04-19,二进制学院
震惊！14岁少年用python编出直播弹幕玩MC Minecraft,19.3万,1906,2018-08-19,小墨boy
Python高级核心技术讲解,163,0,2020-04-03,风之小云天
21天搞定Python分布爬虫,2445,3,2020-03-15,Python与人工智能
【FGO】【Python】【AirTest】圣诞无限池副本,1.8万,16,2020-01-18,_蔚WuK
数据结构与算法（Python语言描述）——完整顺序版,6.2万,1366,2019-05-25,Lei_ZM
Python Django 网上商城实战项目,1173,0,2020-03-29,POUR_OVER
【manim试玩】如何证明勾股定理——第一次用python做视频,8245,14,2020-03-08,张云翼_channel
Python小技巧#1：__name__ == &#39;__main__&#39; 是做什么用的？,1.3万,29,2020-01-19,麦叔编程
十个必知的排序算法|Python实例系列[1],168,0,2020-04-03,Trix_
python实现GTA5自动驾驶,51,0,2020-04-05,aooligay
Python、PyTorch到TensorRT技术栈，第四课：TensoRT以及onnx插件实现细节,75,1,2020-04-04,WishFFF
Python开发教程：Python开发翻译软件，轻松帮你翻译英文,896,29,2020-03-26,极客夜读
Python从入门到项目实践,4558,6,2020-03-01,王山久丰
【路飞学城】老男孩Python全栈工程师 骑士计划（全套就业）,2.1万,119,2019-12-01,逆风微笑的代码狗
【机器学习实战】【python3版本】【代码讲解】,8.9万,659,2018-12-01,云雨偏蓝
【YOLOv3】基于Python的使用OpenCV实现YOLOv3,3262,0,2020-03-20,啥都会一点的研究生
Python3商业爬虫案例实战（28天完整版）,1.7万,127,2019-12-19,真全栈程序员
【Python 2018最新教程】（全200集）Python人工智能入门指南/数据分析课程,6.1万,848,2019-04-29,程序员之家
【计算机语言】零基础学python语言（北京理工大学）,15.4万,1977,2017-09-20,缥霖
Python 高级编程,221,1,2020-04-03,风之小云天
如何使 Python 程序快如闪电？,2107,1,2020-03-26,极客时间
python函数详解,2133,58,2020-03-23,麦叔编程
干货：程序员的职业规划-2020 |Vue |Java|Python| 职业瓶颈-视频教程,5193,16,2020-03-05,全栈小刘
Python语言程序设计_北京理工大学,7.4万,1049,2019-02-02,我秀Gu我在
【中文字幕】写给大家看的Python入门教程（四小时高清完整版）,4.6万,388,2018-10-28,趣味科普人文
【揭秘】通过BV号反推av号，站在巨人的肩膀上，开发了一个互转换工具 可以实现bv转av以及av转bv！Python+flask编写,2380,26,2020-03-25,moyi_tech
如何在手机上用Python编程,9800,1,2020-02-22,J0hnnyV1P
Python3基础+进阶，慕课网七月老师,180,0,2020-04-04,浪里小白龙oh
Python 协程和异步IO,1841,4,2020-03-22,POUR_OVER
每天半小时，一个月搞定Python爬虫（更新100-138）,2502,0,2020-03-17,小虫_jiabao
Python编程大佬被逼相亲，怒爬相亲网站，举办选美大赛！,731,5,2020-04-02,Python编程语言
python的GUI编程和tinkter，这个比较强，建议点赞和关注哦！,4216,4,2020-03-08,屠夫的女婿
【国家精品公开课】用Python玩转数据（Python3.x版）,1.3万,30,2019-12-23,机器学习与Python实战
Python竟然能读取Excel画出这么漂亮的折线图运营妹子看到直接哭了,2.7万,12,2019-12-05,蚂蚁学Python
适合小白学习，Python编程简单实现秒购脚本！,1328,9,2020-03-27,Python编程语言
需要女朋友嘛？一节课教你用Python在线找到自己心仪的小姐姐！,2691,9,2020-03-26,python学习者
Appium 手机 App 自动化 + Python,5341,35,2020-02-28,白月黑羽Python
[黑马程序员]2019python3.7从入门到入门（零基础）,8988,392,2020-02-18,椅梦人
从入门到精通——Python3商业爬虫实战,8775,50,2020-02-02,AIAS编程有道
python语言：七行代码实现疫情地图可视化--武汉，加油！！,1.8万,13,2020-01-28,with小七
说说为什么我不赞成新人学Python,11.0万,685,2019-02-13,孙老师非要尬聊
【最新Python3零基础编程（基础+爬虫+数据分析）】,2427,5,2020-03-14,邻家小女爱数分
如何使用 树莓派 与 Python 打造一个 B 站 UP 主小助手,8438,27,2020-02-21,喂你脚下有坑
Python零基础入门学习2020最新版（SiKi学院） - 第二季,2.1万,1468,2019-10-26,siki学院
00后python实习菜鸡女大学生平平(秃)淡淡(头)的一周vlog #暑期爆肝挑战#,4.6万,167,2019-08-27,英俊的沈醉
【python】零基础入门编程有多难？萌妹一个方法就搞定！,1248,7,2020-03-29,赧烟七七
Python语言基础与应用（北京大学）,3.5万,230,2019-05-15,浅唱的时光
使用Python给罗永浩生成卡通头像,729,0,2020-04-02,蚂蚁学Python
外挂与语言无关，Python开发游戏外挂！,2.1万,57,2019-12-17,Python编程语言
台湾高校老师讲解《Python for Data Analysis》 -- part01,2.4万,56,2019-09-16,股神回忆录
【Python】2018老男孩 python 全栈第9期130天培训,10.9万,1186,2018-10-10,每日CG教程盘点
【2018黑客编程入门】Python黑客编程基础入门,12.6万,418,2018-02-23,HACK学习
Python数据可视化神仙库——pyecharts，图表优美，代码整洁,1557,0,2020-03-24,邻家小女爱数分
【学习猿地】鹅厂大牛亲授Python 零基础 寒假训练营#pycharm,7572,19,2020-02-03,逆风微笑的代码狗
马哥教育2019Python入门PythonWEB全栈Python爬虫Python数据分析Python人工智能Python机器学习各部分试听,1.9万,47,2019-10-09,马哥高薪IT实战
学习Python爬虫必需要要会的一个库：xpath（简洁而又强大）,1865,5,2020-03-25,python学习者
2020千峰python就业班【更新中...】,3212,13,2020-03-10,1024dancing
【千锋】Python视频教程-Python入门全套（强烈推荐）,1.1万,50,2020-02-01,学IT的小暖
北京大学-数据结构与算法Python版（mooc）,1.5万,102,2019-12-14,五味666
python数据可视化（基于pyecharts）,6352,23,2020-02-21,背包2004
Thonny：Python初学者必备学习开发工具,8380,28,2020-02-10,chbpku
老男孩 python全栈 22期,1.4万,69,2020-01-21,三秋叶123
为了找出春物的真正女主♂【绩优股】，我用python爬了十几卷小说做可视化,5.1万,1130,2019-07-26,-赤坂龙之介-
2018年3天快速入门python机器学习【黑马程序员】,8.1万,1772,2018-12-27,黑马程序员-
Python爬虫遇到JS加密怎么办？JS解密教程，Steam官网模拟登陆！,349,0,2020-04-02,Python编程语言
《Python应用基础》微专业体验课——Python 编程新思维及实战,312,0,2020-04-02,一个90后半撅儿
【超实用】Python实现机器学习算法（全）,4295,11,2020-02-21,嘤桃小团几
2020年Python自动化运维系统性20讲-第二次优化版,4055,13,2020-02-19,云开见明教育科技
基于python的曼德勃罗集的简单可视化（有思路讲解和代码）,1.5万,33,2019-12-22,cigar666
【视频教程】liao雪峰-python-基础教程（共259集，分三次上传，侵删）（上）,8.2万,353,2018-11-18,我肛肛好
bv号时代？python极简解决bv号与av号转换问题！！,1128,15,2020-03-25,晓然晓然晓然
老男孩2020年Python自动化开发27期全套视频,8802,56,2020-02-14,过气网红_金角大王Alex
2020年新手Python爬虫就业课程，强烈推荐（简介处补充课件）,5640,10,2020-02-14,快乐学习盯
Python数据科学（上）,1959,1,2020-03-16,跟着Phoenix学Python
2020最新Python实战课程【老陈打码】,5564,3,2020-02-27,老陈打码
解决Python安装第三方库超慢的问题，提速10倍的方法,3828,25,2020-02-23,菜鸟程序员的日常
【数据分析入门课】商业数据分析入门 excel数据分析 sql数据分析 mysql数据分析 python数据分析 7个案例 全网最细最全的数据分析入门课,2.3万,74,2019-09-25,22106878786_bili
【国家精品课程】南京大学 用Python玩转数据（python数据处理）,4.5万,172,2019-03-17,我肛肛好
表弟使用Python的两种方法来爬取《我不是药神》高清电影和影评，VIP都不需要了！,16.6万,24,2018-07-26,轻松学Python
2020好课程-Python办公自动达人+爬虫+各种DIY,969,0,2020-03-28,张奇MAX
python3爬虫课(崔庆才),2295,8,2020-03-15,梦乡尘子
Python数据挖掘基础,3637,1,2020-03-01,Tom_Jary
【Chenghsi Hsieh】《Python深度学习》适合初学者（机器学习）,8048,53,2020-01-29,扎列夫有
python --廖xf商业爬虫（共28课，侵删）注：原课程有python入门课(意义不大)，这里只放爬虫干货内容,6.2万,801,2019-02-05,我肛肛好
【Python】飞花令小程序,19,1,2020-04-05,深海大菠萝X
Web白帽子Python入门,2162,12,2020-03-10,蝶科技
python2020全新入门（第一部分14节）,5044,67,2020-03-01,IT私塾
全网最好入门的爬虫课——Python爬虫网络开发,5190,17,2020-02-22,搬运学习的小王同学
Python+人工智能就业班⑥（2018最新）：人工智能机器学习+深度学习+数据分析+数据结构和算法,3.5万,212,2019-08-17,真全栈程序员
2019 Python黑客编程：安全工具开发,2.5万,74,2019-07-04,白帽黑客教程
【寂静的夜】使用python小海龟turtle画画！python这么有趣，你还觉得枯燥吗,86,1,2020-04-04,馨馨健康快乐地活到120岁
Python 内存管理,808,1,2020-03-29,POUR_OVER
《Python与数据分析》,4548,4,2020-02-23,Taylim
编程培训班到底培训啥?如何甄别培训班是否坑爹?学习路线是什么?想通过培训入行编程开发程序员岗小伙伴们的福音|Java培训，python培训真的有用吗？,4.0万,199,2019-07-13,CodeSheep
keras+python卷积神经网络的搭建,3419,1,2020-03-14,理工男的春天
7天入门Python数据分析,5852,13,2020-02-20,过气网红_金角大王Alex
python从0开始学编程,1.3万,39,2019-12-01,不是第一
Python函数参数 | 深入理解 *args 和 **kwargs | Python 进阶,1277,2,2020-03-23,DavyCloud
【python】网络爬虫与项目实训,4515,44,2020-02-17,彼尔姆的熊
北京大学公开课：Python基础与应用,1074,0,2020-03-23,机器学习与Python实战
【北京理工大学】零基础学Python语言CAP #嵩天教授,1781,0,2020-03-21,逆风微笑的代码狗
python第三方库安装报错奇葩问题 | 虚拟环境&amp;PyCharm,5711,5,2020-02-16,我是喵大
python数据分析神器Jupyter notebook快速入门,4.3万,306,2019-05-31,同济子豪兄
纯技术 - python编程伪造ARP应答，获取舍友小姐姐常用网站,34,0,2020-04-06,小鱼儿teacher
Python 正则表达式,759,0,2020-03-29,POUR_OVER
数据结构与算法 python3.7实现 清华大学博士授课 刷leetcode 面试工作必备基础,3754,61,2020-03-02,老虎队队长
七周成为数据分析师Python入门到精通,5135,2,2020-02-06,正坛资源网
北京理工大学-Python语言程序设计（Python教学-最新版）,1.2万,240,2019-12-14,五味666
【北理MOOC爬虫】2019 Python3网络爬虫从零基础快速入门到实战进阶学习教程,1.7万,137,2019-10-16,Python爬虫人工智能
跟麦叔学Python - 1小时开发太空侵略者游戏,1.5万,74,2019-12-07,麦叔编程
还在用Excel的vlookup？Python几行代码就能搞定！,2.0万,66,2019-12-04,蚂蚁学Python
可能是全网最好的Python全栈合集【12部分完全版】,2.8万,1215,2019-09-24,老男孩IT
python爬虫-自动抓取知乎漂亮小姐姐的照片,110,0,2020-04-03,龙王山小青椒
你与职场高手的距离，就差Python自动化办公！,5298,5,2020-02-14,邻家小女爱数分
进来让UP睡不好觉！技术UP用python写了一个可以让自己听到你们的视频浏览的软件,6690,17,2020-02-11,离岸烨
一步一步做爬虫！！！最详细的Python爬虫教程和实战,9560,149,2020-01-05,快乐学习的代码狗
Python 爬虫视频教程全集（62P）| 6 小时从入门到精通,3.2万,545,2019-07-18,代码基基
数据分析与机器学习实战之python常用库,1069,1,2020-03-24,苏苏学长噫
真·小白入门Python教程（友好向，墙裂推荐，完整版）,1409,1,2020-03-22,邻家小女爱数分
【国语】基于python的计算机视觉理论与实践课程(图像处理/物体检测/人脸检测/轮廓识别),1429,1,2020-03-22,啥都会一点的研究生
Python全栈系列：从零基础入门到精通,2995,1,2020-03-05,旅行舰长
研究生课程“Python编程技术”,4938,20,2020-02-24,董付国_Python小屋
【Python自动化】用Python玩游戏,7409,7,2020-02-22,IT蜗壳-Tango
Python-项目实战-飞机大战,5791,14,2020-02-21,你的学习书单
从零教你用Python打造一个简单的疫情地图，武汉加油！,6919,20,2020-02-21,python学习者
【数据结构与算法 | LeetCode训练营】适用于C++/Java/Python/JavaScript等,1.7万,23,2019-10-02,翰者学堂
Python脱产班为期3个月的培训视频,2.8万,153,2019-08-27,IT小工joey
4天学会python机器学习与量化交易,3.8万,294,2019-06-13,黑马程序员粉丝
机器学习算法-2017邹博最新（Python版）,10.4万,1946,2018-05-18,亦卿wish
【老男孩教育】 python全栈工程师基础+就业班 第三期（103天完结版）,12.9万,1334,2018-04-05,逆风微笑的程序猿
Python数据分析,487,0,2020-03-30,Python与人工智能
【邢不行】跟着公司高管买他家股票能赚钱吗：增持后股价怎么走（三）80000条大数据、原始数据整理、python数据分析,823,3,2020-03-31,量化投资邢不行啊
Python爬虫案例：爬取梨视频网站，下载完整版小视频并保存本地,1011,150,2020-03-19,极客夜读
比吃饭还简单的教程，真正的零基础Python编程入门指南（基础篇 上）（明日科技）,5367,70,2020-02-11,风之云轩
走向实战，学完C之后学什么？前端后端？Java？Python?网站开发？B/S开发预备课,8209,11,2020-02-04,Liyoh-Frank
Python基础+爬虫项目+数据分析班【优质整合】,2.7万,9,2019-07-07,爱笑的程序狗
10年老程序员聊 培训机构炒作python号称年薪40万,6.4万,219,2019-05-11,我是程序汪
【python免费教程】ep.2 数据类型,22,1,2020-04-04,xiaobei_happy
手动打码与对接打码平台技术，Python爬虫解决12306验证码难题！,336,11,2020-04-02,Python编程语言
网络安全之PYTHON学习-零基础,1996,15,2020-03-17,b站最菜黑客
Python数据科学（下）,1917,2,2020-03-16,跟着Phoenix学Python
【学习路径】从Python到数据分析机器学习深度学习_个人经验总结与分享,3585,23,2020-03-05,致敬大神
【Python】操作微信小程序,1.1万,17,2020-01-17,IT蜗壳-Tango
麻省理工公开课38集全 计算机科学导论及Python编程,1.7万,45,2019-10-07,Mmxgxg
【一起啃书】利用Python进行数据分析第一弹-Python进阶,3.9万,188,2019-06-10,致敬大神
Python开发教程：Python开发微信抢红包，红包提示攻略不容错过,695,47,2020-03-25,极客夜读
python学习（一）：下载、运行py文件、什么是面向对象与缩进、注释、多行输入,2286,14,2020-03-11,lvqaq
Python_实战项目——爱家租房项目,4340,0,2020-02-23,你的学习书单
python爬虫课程,3647,7,2020-02-21,Tom_Jary
python运维自动化开发教程,3.6万,212,2019-08-08,星烁游辰
Python400集2018最新版,7.4万,780,2018-07-30,一剑霜寒拾肆州
Python爬虫教程：分析反爬策略，采集喜马拉雅音频数据！,293,3,2020-04-02,Python编程语言
Python人脸识别来访系统开发实战,4013,12,2020-02-21,蜗牛学院
Python数据分析及项目实战,1.3万,37,2019-12-23,真全栈程序员
麻省理工公开课：计算机科学导论及Python编程(英文字幕) 2016年秋季学期版,8.8万,1142,2017-05-12,李三影
2020年最新 老男孩Python编程全栈开发学习课程14期,671,0,2020-03-29,蓝精灵永恒
【Tech Talk】-21- 学Python找工作困难吗? 学Python 都能干什么 ？在职程序员如何看看待Python 9块9 网课 ！,1019,14,2020-03-27,御风大世界
python获取直播平台直播源,1192,2,2020-03-25,不追问
Python开发教程：PythonGUI图形界面打造属于自己的签名设计,878,30,2020-03-24,极客夜读
python 数据分析库 pandas教学 第二课 如何如何在pandas中选择序列和更改列标题 已知数课堂,5869,3,2020-03-06,已知数课堂
超简单的Python编程入门（全部18节课已更新完毕）,7419,7,2020-02-11,丝迪姆少儿编程
Python也可以玩Minecraft？！,1.1万,34,2020-01-26,有为青年王二
新版全套Python基础教程(上) #有了这套视频Python就6了(上部完集),7622,21,2020-01-03,IT网红
清晰明了的PyCharm 从入门到实践 收藏点赞up主附赠超值《Python知识手册》PDF及习题讲义！全部免费噢！,4.1万,352,2019-03-27,编程骑士
Python爬取淘宝女郎，一起欣赏貌美的淘宝MM！,13.2万,166,2018-05-18,Python新视界
从零开始创建一个简单的Python小工具 PART I 【NUKE教程】,827,0,2020-03-28,烈焰VFX
Python爬虫爬取同城约会数据,2805,7,2020-03-16,siki学院
【2020 最新python教程】第五部分：Django框架,2600,29,2020-03-14,凸头统治地球
python 数据分析库 pandas教学 第一课 如何将数据表导入pandas 已知数课堂,6409,1,2020-03-03,已知数课堂
震惊！普通高中生竟用python写出了Divergence Meter辉光管时钟！,5036,3,2020-02-29,7∪7
Python和Go爬虫速度比较，Go简直太快了！Python很难追上！,1.1万,2,2020-02-06,程序员赚钱指南
【2019Python全栈+人工智能】 6-后端开发之Django框架,1928,1,2020-03-11,S丶m1lence丶
7小时入门TensorFlow 2.0：Python神经网络入门教程 by Tim Ruscica,3426,4,2020-03-05,爱可可-爱生活
最新Python爬虫项目实战全程实录(完结) #学完这个课所有爬虫都能写,1.3万,464,2019-12-02,学习猿地
史上最全最详细 python+pycharm安装与使用教程！（零基础福音！）,4.0万,284,2019-07-16,轻松学Python
【中英字幕】Python for everybody-不可错过的五星推荐python入门课程！,3.6万,350,2019-03-18,橘柚菌522
18个最有用的Python模块,1211,0,2020-03-25,啥都会一点的研究生
Python开发教程：Python私人定制一款百度搜索引擎,930,50,2020-03-23,极客夜读
游戏重要还是我重要，小伙面对女友的灵魂审问，用python做一个微信自动回复脚本陪女友聊天,768,112,2020-03-20,极客夜读
用图形学Python -适合11-99岁（启发思维锻炼头脑）,9770,29,2020-02-10,友军STEM
【Python游戏】跟麦叔学Python - 猫和老鼠,1.2万,58,2019-12-15,麦叔编程
Python零基础入门学习2020最新版（SiKi学院） - 第三季,1.2万,391,2019-10-27,siki学院
"程序员面试硬软技能 |常见面试题回答攻略 |校招毕业季Java,Python,C++等程序员岗均适用",2.7万,228,2019-06-13,CodeSheep
10行python代码，急速采集小电影！,8.4万,13,2018-12-19,Python编程语言
microbit Python编程-1-概述和编程体验,431,2,2020-04-01,chbpku
【Python】自制坦克大战~,52,4,2020-04-03,二茂铁Fe
手把手：零基础配置Python开发环境（《Python编程与实践》番外篇）,3131,21,2020-03-02,爱可可-爱生活
用Python玩转数据_南京大学,3207,6,2020-02-23,不怕钢叉的猹
python flask全栈开发,7815,76,2020-01-28,偶尔也会喝瓶可乐
不再纠结选哪个语言：Java、Python、C++的终极对比【编程修炼之道】,2.8万,122,2019-09-11,翰者学堂
《Python编程·从入门到实践》导读（全集更新中）,3.1万,57,2019-07-01,学习熊猫
Scikit-learn (sklearn) 优雅地学会机器学习 (莫烦 Python 教程),11.5万,1239,2017-12-06,莫烦Python
【Python】数字操作#1 超级次方,36,0,2020-04-04,小小小小小小小车
《Python编程与实践》第二课 by 北邮陈光,2934,38,2020-03-06,爱可可-爱生活
Python批量翻译英语单词,3245,7,2020-03-02,蚂蚁学Python
Python读取Excel展示在网页上,4611,9,2020-02-22,蚂蚁学Python
职场人必学的Python技能课,3837,3,2020-02-15,Yinn-Blog
【尹成学院】Python数据分析- 金融股票与数字量化交易（完）,1.6万,24,2019-10-15,逆风微笑的代码狗
Python 项目实战视频教程全集（105P）| 26 小时从入门到精通,3.0万,19,2019-07-18,代码基基
【Cracer录制】Python黑客编程培训,3.2万,240,2019-05-04,HACK学习
编写第一个Python程序,6.7万,18,2019-04-22,廖雪峰
当年参加校园招聘（应届生校招）找工作时的痛彻体会和领悟：数据结构和算法非常重要！|java，C语言，C++，Python等岗位均需要,5.6万,233,2019-01-28,CodeSheep
Python 爬虫基础教程 (莫烦 Scraping Tutorial),11.1万,942,2018-01-03,莫烦Python
ipad os 13.4 + colab + 鼠标 = 舒服地打python,131,0,2020-04-03,五秒咖喱棒
Python经典实战案例：批量采集微博数据,606,0,2020-03-30,轻松学Python
【python】用python爬虫下载BV号视频最新方法(仅供学习用途),1028,9,2020-03-25,hhh航航
Python黑客编程之信息收集,3948,22,2020-02-15,白帽子搞安全
老男孩教育2020年Python全栈第22期从入门到精通最全教程（新手必看）！！！,5691,10,2020-02-11,路飞学城小媛老师
Python完整项目解剖,4328,5,2020-02-10,萧曵__
四周精通 Python爬虫的各种令人窒息的操作 #精讲课程,5803,26,2020-01-19,逆风微笑的代码狗
树莓派4会取代PC？【小甲鱼最新版Python彩蛋】,2.5万,43,2019-10-31,鱼C-小甲鱼
【白帽子】Web安全-Python脚本编写入门,1.4万,29,2019-10-15,HACK学习
Keras 快速搭建神经网络 (莫烦 Python 教程),11.8万,1054,2017-12-03,莫烦Python
好玩的，python零基础教程（快速学习python入门&amp;必备）,1895,11,2020-03-18,凸头统治地球
Python开发简单爬虫,1.6万,43,2019-07-09,小渔学长
这技术你懂的，Python编程实现变脸技术！,822,1,2020-03-28,Python编程语言
Python爬虫教程：搞定12306验证码问题！,427,6,2020-03-31,Python编程语言
51bitquant Python数字货币量化交易进阶课程的大纲内容介绍以及代码资料获取与答疑,95,0,2020-04-04,51bitquant量化交易
Windows Linux 各取所长，WSL 子系统 Ubuntu 下的 Python 开发,2690,1,2020-03-17,优特编程
利用Python实现QQ机器人,2463,2,2020-03-08,老王家的王小白
驳斥 ”小白不适合把Python做为第一门语言“ 的谬论,3978,79,2020-02-27,过气网红_金角大王Alex
python编程,6565,64,2020-02-12,zzuwjf
可能是全网最好的MySQL入门合集 【老男孩Python and MySQL】,2.7万,145,2019-07-10,老男孩IT
python学习（四）：逻辑运算、函数、类和输出进度条的小项目,2013,3,2020-03-16,lvqaq
20天掌握Python基础/Python入门 老铁666,2114,10,2020-03-13,会讲课的樵夫
Python自动化操作PDF,2058,1,2020-03-08,老王家的王小白
大数据 Python数据分析处理,2248,0,2020-03-05,不怕钢叉的猹
老男孩2020最新python精制全套视频（含项目）,4257,4,2020-02-25,老男孩教育
Python3.6 从入门到精通,3553,6,2020-02-13,自渡k-
python3数据分析数据挖掘2020Python3数据分析与挖掘建模实战,6450,31,2020-01-15,南君部落
基于python3的Opencv图像处理教程(从零到实践),1.4万,151,2019-11-28,啥都会一点的研究生
2019年千锋Python全套视频教程，史上最经典,1.4万,113,2019-10-04,程序员小草帽
Python 数据分析 &amp; 机器学习 &amp; 深度学习,1.5万,49,2019-09-22,__rec
全世界特效最佳的 Python 教程【印裔小姐姐带飞 双语熟肉】,2.7万,157,2019-07-13,鱼C-小甲鱼
黑马—python基础,3.6万,378,2019-07-05,one-year
Kali Linux+Python黑客视频网络安全工程师必备技能-乾颐堂现任明教教主秦柯,2.6万,56,2019-04-03,乾颐堂
python进阶提升以及小技巧分享合集,1308,0,2020-03-19,我是喵大
利用Python进行有限元分析,2821,1,2020-03-06,DSimile520
【课程】数据结构与算法Python版-北京大学-陈斌-01-概述,2902,10,2020-02-18,chbpku
【CSOL】如何用1000个白银芯片换一个【永恒】Python（+6）？,1.2万,8,2020-01-21,米切尔Mitchell
【最干净易懂的Python终极教程】小白从入门安装到精通完整版，搬运完成！,9191,39,2019-12-19,一只不快乐的柠檬精
Python常用模块6小时（全）,9547,19,2019-11-27,路飞学城小媛老师
自从小侄子学会python后，从此玩王者农药没差过金币！,4.6万,23,2019-05-30,轻松学Python
【Python】每天定时用微信给女朋友发天气预报，每天不重样。,3.3万,25,2019-05-14,彩葫芦
【python数据可视化】详解如何绘制疫情地图与词云,219,1,2020-04-03,StuGiu
Python 入门 (简介有链接，记得先阅读文章),2826,24,2020-02-27,胶皮睿
惊呆！Python 竟然还有这样的黑魔法！,4777,13,2020-01-14,极客时间
【2019千锋】Python全套视频教程，史上最经典,2.8万,430,2019-07-05,学点it大技术
【 python + excel = 效率↑↑ 】 Become an Excel Wizard With Python,3.2万,8,2019-05-13,说到做到的橙橙橙
【老男孩教育】 python工程师 就业班 第16期,4.5万,214,2019-03-06,逆风微笑的代码狗
【配套视频】笨办法学Python3,6.4万,419,2018-06-27,TiC23
数据分析与机器学习实战_基于Python3视频教程,655,0,2020-03-25,听取某声一片
【2019Python全栈+人工智能】9-团队项目开发,1687,0,2020-03-10,S丶m1lence丶
【python】数据分析工具numpy入门,3761,13,2020-02-10,free-coder
骑马与砍杀python零基础入门【第一季】,6492,10,2019-12-14,蔗糖王金飞
Python爬虫视频教程，爬取英雄联盟英雄皮肤氪金攻略,1399,195,2020-03-13,极客夜读
Python数据分析,1889,3,2020-03-05,不怕钢叉的猹
【python】pandas-数据分析工具pandas入门,3552,4,2020-02-13,free-coder
[陈哈哈]❤study PYTHON with me | 和我一起学神经网络编程,9191,35,2020-01-23,陈陈陈陈哈哈
【Renpy】python也要谈恋爱！零基础-&gt;j精通galgame制作 （一）最初的开始,4299,22,2020-01-13,莉萝爱萝莉official
